,,Kappa Values for lines of contstant kappa (1.0 down to 0.001),,,,,,,,,,,,,,,,,,,,,,,,,,,
Diameter (m),Diameter (nm),k = 1,k = 0.9,k = 0.8,k = 0.7,k = 0.6,k = 0.5,k = 0.4,k = 0.3,k = 0.2,k = 0.1,k = 0.09,k = 0.08,k = 0.07,k = 0.06,k = 0.05,k = 0.04,k = 0.03,k = 0.02,k = 0.01,k = 0.009,k = 0.008,k = 0.007,k = 0.006,k = 0.005,k = 0.004,k = 0.003,k = 0.002,k = 0.001
1.63E-07,163,0.0563,0.0593,0.0629,0.0673,0.0726,0.0796,0.089,0.1027,0.1257,0.1773,0.1868,0.198,0.2114,0.2279,0.249,0.2772,0.3175,0.382,0.5103,0.5313,0.555,0.5821,0.6135,0.6507,0.6957,0.7522,0.8276,0.9409
1.71E-07,171,0.0525,0.0553,0.0587,0.0627,0.0678,0.0742,0.083,0.0958,0.1172,0.1654,0.1743,0.1847,0.1972,0.2126,0.2324,0.2587,0.2965,0.3571,0.4783,0.4982,0.5207,0.5465,0.5765,0.612,0.655,0.7093,0.7819,0.8914
1.79E-07,179,0.0489,0.0516,0.0547,0.0585,0.0632,0.0692,0.0774,0.0893,0.1093,0.1543,0.1626,0.1723,0.184,0.1984,0.2168,0.2415,0.2769,0.3338,0.4483,0.4671,0.4885,0.513,0.5415,0.5754,0.6166,0.6687,0.7386,0.8443
1.87E-07,187,0.0456,0.0481,0.051,0.0546,0.0589,0.0645,0.0722,0.0833,0.102,0.1439,0.1516,0.1607,0.1716,0.1851,0.2023,0.2254,0.2586,0.312,0.42,0.4378,0.4581,0.4814,0.5086,0.5409,0.5804,0.6303,0.6975,0.7996
1.96E-07,196,0.0426,0.0449,0.0476,0.0509,0.055,0.0602,0.0673,0.0777,0.0951,0.1343,0.1414,0.1499,0.1601,0.1727,0.1888,0.2104,0.2414,0.2915,0.3934,0.4103,0.4296,0.4517,0.4776,0.5084,0.5461,0.594,0.6585,0.7571
2.06E-07,206,0.0397,0.0418,0.0444,0.0474,0.0512,0.0561,0.0628,0.0725,0.0887,0.1252,0.1319,0.1399,0.1494,0.1611,0.1762,0.1964,0.2254,0.2724,0.3684,0.3845,0.4027,0.4237,0.4484,0.4777,0.5137,0.5596,0.6216,0.7168
2.15E-07,215,0.037,0.039,0.0414,0.0443,0.0478,0.0524,0.0585,0.0676,0.0827,0.1168,0.1231,0.1305,0.1393,0.1503,0.1644,0.1832,0.2104,0.2545,0.345,0.3602,0.3775,0.3974,0.4208,0.4488,0.4832,0.5271,0.5867,0.6785
2.26E-07,226,0.0345,0.0364,0.0386,0.0413,0.0446,0.0488,0.0546,0.063,0.0772,0.109,0.1148,0.1217,0.13,0.1403,0.1534,0.171,0.1964,0.2378,0.323,0.3373,0.3537,0.3726,0.3949,0.4215,0.4543,0.4963,0.5536,0.6421
2.36E-07,236,0.0322,0.0339,0.036,0.0385,0.0416,0.0455,0.0509,0.0588,0.072,0.1016,0.1071,0.1135,0.1213,0.1308,0.1431,0.1596,0.1834,0.2221,0.3023,0.3159,0.3314,0.3493,0.3704,0.3958,0.4271,0.4673,0.5223,0.6076
2.48E-07,248,0.03,0.0317,0.0336,0.0359,0.0388,0.0425,0.0475,0.0548,0.0671,0.0948,0.0999,0.1059,0.1131,0.1221,0.1335,0.1489,0.1712,0.2075,0.283,0.2958,0.3104,0.3274,0.3475,0.3716,0.4014,0.4398,0.4926,0.5748
